epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4351.49,0.94501,0.52819,1.03933,0.95596,0.92309,0.96189,0.67452,0.95993,0.45015,1.0592,0.0056935,0.0056935,0.0056935
89,4400.54,0.94183,0.52437,1.04264,0.95166,0.9239,0.96244,0.67585,0.96312,0.45013,1.0606,0.005644,0.005644,0.005644
90,4452.01,0.9337,0.52207,1.03907,0.95105,0.92766,0.96207,0.6748,0.96029,0.45291,1.06007,0.0055945,0.0055945,0.0055945
91,4501.9,0.94641,0.52355,1.04286,0.95222,0.92823,0.96474,0.67683,0.96406,0.45374,1.06104,0.005545,0.005545,0.005545
92,4551.9,0.94094,0.52835,1.04296,0.95106,0.9244,0.95933,0.6735,0.96431,0.45611,1.06033,0.0054955,0.0054955,0.0054955
93,4602.91,0.93935,0.52902,1.04027,0.95172,0.92911,0.96163,0.67341,0.96157,0.45439,1.06043,0.005446,0.005446,0.005446
94,4652.37,0.93507,0.51821,1.03544,0.95201,0.92776,0.96018,0.67351,0.96027,0.45062,1.06007,0.0053965,0.0053965,0.0053965
95,4704.36,0.93954,0.51974,1.03666,0.94468,0.92803,0.96062,0.67442,0.96315,0.44961,1.0598,0.005347,0.005347,0.005347
96,4756.12,0.93879,0.51947,1.03456,0.95255,0.9292,0.96355,0.67492,0.96271,0.44893,1.05866,0.0052975,0.0052975,0.0052975
97,4805.94,0.94342,0.52098,1.04076,0.95127,0.92945,0.96126,0.67525,0.95881,0.44749,1.05506,0.005248,0.005248,0.005248
98,4856.11,0.93012,0.51569,1.03707,0.95659,0.91989,0.96137,0.67758,0.96076,0.44854,1.05701,0.0051985,0.0051985,0.0051985
99,4904.12,0.92324,0.51057,1.02961,0.95122,0.92217,0.95921,0.67606,0.96252,0.44756,1.05935,0.005149,0.005149,0.005149
100,4953.41,0.93627,0.51471,1.03837,0.95293,0.9219,0.95905,0.67736,0.95886,0.44181,1.05887,0.0050995,0.0050995,0.0050995
101,5003.26,0.91837,0.50733,1.02817,0.95215,0.92565,0.96161,0.67824,0.95654,0.44418,1.05808,0.00505,0.00505,0.00505
102,5051.66,0.92208,0.5041,1.03019,0.95649,0.9244,0.96272,0.67979,0.95807,0.44287,1.0613,0.0050005,0.0050005,0.0050005
103,5100.37,0.9224,0.50495,1.03069,0.95246,0.9228,0.96151,0.68073,0.95862,0.43968,1.06092,0.004951,0.004951,0.004951
