epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1098.41,1.14467,0.66872,1.10269,0.84651,0.78318,0.82983,0.50645,1.21989,0.65868,1.1629,0.000775822,0.000775822,0.000775822
56,1118.31,1.12808,0.6475,1.09908,0.84797,0.79874,0.8365,0.51166,1.22268,0.63363,1.15953,0.000759318,0.000759318,0.000759318
57,1138.23,1.13607,0.65473,1.09771,0.8538,0.78322,0.82653,0.50736,1.22489,0.64926,1.1642,0.000742815,0.000742815,0.000742815
58,1158.17,1.12961,0.64732,1.10229,0.82244,0.81035,0.83609,0.50667,1.20138,0.63892,1.1543,0.000726312,0.000726312,0.000726312
59,1178.07,1.11324,0.64119,1.09464,0.84626,0.78489,0.83592,0.50996,1.21829,0.63516,1.15553,0.000709809,0.000709809,0.000709809
60,1198.03,1.11634,0.64127,1.08794,0.8598,0.77766,0.83885,0.50969,1.19863,0.63534,1.15027,0.000693305,0.000693305,0.000693305
61,1218.02,1.11058,0.63409,1.08571,0.87237,0.78322,0.83552,0.50994,1.211,0.63786,1.15535,0.000676802,0.000676802,0.000676802
62,1237.96,1.12618,0.64406,1.09473,0.86446,0.78289,0.83672,0.51915,1.22093,0.62589,1.15258,0.000660299,0.000660299,0.000660299
63,1257.73,1.10817,0.62956,1.09674,0.86878,0.79616,0.84947,0.52167,1.22289,0.62642,1.14678,0.000643795,0.000643795,0.000643795
64,1277.81,1.09534,0.63093,1.08012,0.82563,0.79274,0.83363,0.5094,1.21992,0.63585,1.14729,0.000627292,0.000627292,0.000627292
65,1297.59,1.10573,0.62721,1.09209,0.83849,0.81993,0.84408,0.51493,1.21331,0.61392,1.14461,0.000610789,0.000610789,0.000610789
66,1317.42,1.10524,0.63159,1.09265,0.87001,0.77896,0.8411,0.51498,1.20813,0.61893,1.15383,0.000594286,0.000594286,0.000594286
67,1337.15,1.09908,0.62024,1.08587,0.86035,0.80449,0.86143,0.52328,1.21901,0.61934,1.15506,0.000577782,0.000577782,0.000577782
68,1356.99,1.10953,0.62049,1.0868,0.83005,0.80389,0.84322,0.52004,1.20559,0.63109,1.15705,0.000561279,0.000561279,0.000561279
69,1376.82,1.07927,0.61126,1.07796,0.8709,0.78881,0.85123,0.5207,1.21767,0.62541,1.16111,0.000544776,0.000544776,0.000544776
70,1396.74,1.07638,0.60928,1.07874,0.86451,0.79198,0.85341,0.51743,1.22268,0.61292,1.1573,0.000528272,0.000528272,0.000528272
71,1416.64,1.08014,0.59863,1.07464,0.87587,0.78486,0.84545,0.52195,1.20995,0.62556,1.15632,0.000511769,0.000511769,0.000511769
72,1436.53,1.08473,0.61197,1.07856,0.85297,0.80658,0.84672,0.5245,1.1906,0.62183,1.14646,0.000495266,0.000495266,0.000495266
73,1456.31,1.05907,0.58908,1.06554,0.83263,0.82192,0.85104,0.52423,1.20372,0.61054,1.15321,0.000478762,0.000478762,0.000478762
74,1476.11,1.06887,0.59605,1.07068,0.82883,0.8139,0.84951,0.52141,1.21672,0.61637,1.15974,0.000462259,0.000462259,0.000462259
75,1495.99,1.07329,0.59721,1.07398,0.86092,0.8049,0.85576,0.52144,1.21364,0.61687,1.14799,0.000445756,0.000445756,0.000445756
76,1515.93,1.05944,0.58909,1.06373,0.84958,0.8004,0.85066,0.52571,1.21709,0.60764,1.15263,0.000429253,0.000429253,0.000429253
77,1535.67,1.05897,0.58642,1.07258,0.84687,0.81552,0.852,0.52286,1.22371,0.6058,1.15835,0.000412749,0.000412749,0.000412749
78,1555.4,1.05024,0.58367,1.06073,0.85959,0.79479,0.84199,0.52253,1.20202,0.60749,1.15429,0.000396246,0.000396246,0.000396246
79,1575.24,1.06976,0.58784,1.07838,0.85758,0.77974,0.83629,0.51904,1.21059,0.61114,1.15971,0.000379743,0.000379743,0.000379743
80,1595.02,1.04955,0.57404,1.06588,0.84366,0.82148,0.85807,0.52413,1.20701,0.61095,1.16097,0.000363239,0.000363239,0.000363239
81,1614.8,1.04244,0.57541,1.06306,0.86116,0.80105,0.85376,0.52887,1.21357,0.61122,1.16096,0.000346736,0.000346736,0.000346736
82,1634.6,1.0528,0.57673,1.06669,0.86345,0.81626,0.85481,0.52611,1.21011,0.60922,1.15371,0.000330233,0.000330233,0.000330233
83,1654.5,1.05511,0.57162,1.06119,0.87086,0.81809,0.8566,0.53713,1.19322,0.59536,1.14789,0.000313729,0.000313729,0.000313729
84,1674.54,1.03919,0.56524,1.05212,0.85668,0.81538,0.84892,0.52787,1.21465,0.60508,1.15974,0.000297226,0.000297226,0.000297226
85,1694.31,1.04159,0.56599,1.05427,0.8638,0.80728,0.85626,0.52935,1.19589,0.60254,1.15044,0.000280723,0.000280723,0.000280723
86,1714.06,1.03738,0.56774,1.05451,0.86501,0.8139,0.85837,0.53057,1.20703,0.60606,1.15422,0.00026422,0.00026422,0.00026422
87,1733.87,1.01959,0.55165,1.05465,0.86998,0.80964,0.8561,0.5286,1.2092,0.60021,1.15175,0.000247716,0.000247716,0.000247716
88,1753.68,1.02405,0.55372,1.05139,0.86668,0.8142,0.86294,0.53636,1.20054,0.59126,1.1482,0.000231213,0.000231213,0.000231213
89,1773.6,1.0169,0.5512,1.04221,0.86755,0.82674,0.86307,0.53764,1.19903,0.59408,1.14404,0.00021471,0.00021471,0.00021471
90,1793.46,1.02477,0.54978,1.05145,0.84943,0.82257,0.85752,0.52886,1.19535,0.58634,1.14854,0.000198206,0.000198206,0.000198206
91,1833.33,0.97562,0.48736,1.03051,0.84368,0.81527,0.85354,0.52893,1.19834,0.59877,1.15567,0.000181703,0.000181703,0.000181703
92,1853.26,0.9746,0.4785,1.02986,0.86989,0.80008,0.85114,0.52586,1.19907,0.59413,1.15089,0.0001652,0.0001652,0.0001652
93,1873.09,0.94663,0.46354,1.01921,0.87495,0.80518,0.85566,0.528,1.20521,0.59316,1.15185,0.000148696,0.000148696,0.000148696
94,1892.82,0.94582,0.45805,1.01023,0.8835,0.79471,0.85525,0.53447,1.19227,0.58672,1.14569,0.000132193,0.000132193,0.000132193
95,1912.64,0.94167,0.46531,1.01679,0.85734,0.81008,0.85641,0.53146,1.20234,0.5892,1.15144,0.00011569,0.00011569,0.00011569
96,1932.42,0.93813,0.45848,1.0137,0.86227,0.81255,0.85908,0.53438,1.20048,0.58401,1.1523,9.91865e-05,9.91865e-05,9.91865e-05
97,1952.22,0.9316,0.44744,1.01028,0.86377,0.80964,0.85912,0.53227,1.20341,0.59498,1.1541,8.26832e-05,8.26832e-05,8.26832e-05
98,1971.9,0.9343,0.45085,1.01284,0.86866,0.80564,0.85786,0.53284,1.19654,0.58874,1.14978,6.61799e-05,6.61799e-05,6.61799e-05
99,1991.54,0.93142,0.44682,1.01118,0.87704,0.8158,0.86241,0.53505,1.19413,0.58898,1.14666,4.96766e-05,4.96766e-05,4.96766e-05
100,2011.28,0.9154,0.44391,1.01107,0.88064,0.8163,0.86297,0.53827,1.19838,0.58773,1.1497,3.31733e-05,3.31733e-05,3.31733e-05
